Key,English Value,Category,Tier
knowledge.search.noResults,No results found,knowledge.search,Tier 1
knowledge.search.noResultsHint,Try different keywords or broaden your search,knowledge.search,Tier 1
knowledge.search.noResultsRagHint,Try rephrasing your question or switching to traditional search,knowledge.search,Tier 1
knowledge.search.ragDesc,AI-powered semantic search with synthesis,knowledge.search,Tier 3
knowledge.search.ragEnhanced,RAG Enhanced,knowledge.search,Tier 3
knowledge.search.ragPlaceholder,Ask a question about your knowledge...,knowledge.search,Tier 3
knowledge.search.ragUnavailable,RAG search requires vectorized documents. Switch to traditional search or vectorize your documents first.,knowledge.search,Tier 3
knowledge.search.rerankScore,{value}% rerank,knowledge.search,Tier 3
knowledge.search.rerankingBadge,NEW,knowledge.search,Tier 3
knowledge.search.resultsLimit,Results limit,knowledge.search,Tier 3
knowledge.search.retry,Retry,knowledge.search,Tier 3
knowledge.search.searchBtn,Search,knowledge.search,Tier 1
knowledge.search.searchPlaceholder,Search knowledge base...,knowledge.search,Tier 1
knowledge.search.searching,Searching...,knowledge.search,Tier 3
knowledge.search.sourcesCount,{count} sources,knowledge.search,Tier 3
knowledge.search.subtitle,Search through your knowledge base using traditional or AI-enhanced RAG search,knowledge.search,Tier 2
knowledge.search.title,Knowledge Search,knowledge.search,Tier 2
knowledge.search.traditionalDesc,Fast keyword-based search across all documents,knowledge.search,Tier 3
knowledge.search.traditionalSearch,Traditional Search,knowledge.search,Tier 3
knowledge.sessionOrphan.cleanUp,Clean Up,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.cleaning,Cleaning...,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.cleanupDescription,Remove knowledge facts that are linked to deleted or expired sessions.,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.cleanupError,Failed to clean up session orphans,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.cleanupTitle,Clean Up Orphans,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.deletedSessions,Deleted Sessions,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.description,Find and clean up knowledge facts linked to deleted or expired chat sessions.,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.factsChecked,Facts Checked,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.important,Important,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.orphanedFacts,Orphaned Facts,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.previewTitle,Orphaned Facts Preview,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.scanDescription,Analyze knowledge facts and identify those linked to non-existent sessions.,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.scanError,Failed to scan session orphans,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.scanMeta,"Safe, read-only operation",knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.scanNow,Scan Now,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.scanTitle,Scan for Orphans,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.scanning,Scanning...,knowledge.sessionOrphan,Tier 3
knowledge.sessionOrphan.title,Session Orphan Cleanup,knowledge.sessionOrphan,Tier 2
knowledge.sessionOrphan.withSessionTracking,With Session Tracking,knowledge.sessionOrphan,Tier 3
knowledge.share.admin,Admin,knowledge.share,Tier 3
knowledge.share.cancel,Cancel,knowledge.share,Tier 3
knowledge.share.closeAriaLabel,Close dialog,knowledge.share,Tier 3
knowledge.share.currentAccess,Current Access,knowledge.share,Tier 3
knowledge.share.noAccess,Not shared with anyone yet,knowledge.share,Tier 3
knowledge.share.noResults,No users found,knowledge.share,Tier 1
knowledge.share.read,Read,knowledge.share,Tier 3
knowledge.share.removeAccess,Remove access,knowledge.share,Tier 3
knowledge.share.saveChanges,Save Changes,knowledge.share,Tier 3
knowledge.share.saving,Saving...,knowledge.share,Tier 3
knowledge.share.searchError,Failed to search users,knowledge.share,Tier 3
knowledge.share.searchPlaceholder,Search users or teams...,knowledge.share,Tier 1
knowledge.share.searchUnavailable,User search is not available,knowledge.share,Tier 3
knowledge.share.searching,Searching...,knowledge.share,Tier 3
knowledge.share.shareWith,Share with,knowledge.share,Tier 3
knowledge.share.team,Team,knowledge.share,Tier 3
knowledge.share.title,Share: {name},knowledge.share,Tier 2
knowledge.share.unsavedConfirm,You have unsaved changes. Are you sure you want to close?,knowledge.share,Tier 3
knowledge.share.user,User,knowledge.share,Tier 3
knowledge.share.write,Write,knowledge.share,Tier 3
knowledge.stats.available,Available,knowledge.stats,Tier 3
knowledge.stats.avgDocsPerCategory,Average documents per category,knowledge.stats,Tier 3
knowledge.stats.avgDocsPerCategoryValue,{count} avg docs/category,knowledge.stats,Tier 3
knowledge.stats.avgPerDoc,{size} avg/doc,knowledge.stats,Tier 3
knowledge.stats.avgTagsPerDoc,{count} avg tags/doc,knowledge.stats,Tier 3
knowledge.stats.categories,Categories,knowledge.stats,Tier 3
knowledge.stats.confirmOptimize,This will optimize the database. Continue?,knowledge.stats,Tier 3
knowledge.stats.databaseSize,Database Size,knowledge.stats,Tier 3
knowledge.stats.docsByCategory,Documents by Category,knowledge.stats,Tier 3
knowledge.stats.docsByType,Documents by Type,knowledge.stats,Tier 3
knowledge.stats.documentLifecycle,Document Lifecycle,knowledge.stats,Tier 3
knowledge.stats.embeddingModel,Embedding Model,knowledge.stats,Tier 3
knowledge.stats.embeddingsGenerated,Embeddings generated,knowledge.stats,Tier 3
knowledge.stats.exportStats,Export Stats,knowledge.stats,Tier 3
knowledge.stats.factsCount,{count} facts,knowledge.stats,Tier 3
knowledge.stats.generateReport,Generate Report,knowledge.stats,Tier 3
knowledge.stats.goToManage,Go to System Knowledge,knowledge.stats,Tier 3
knowledge.stats.indexAvailable,Index Available,knowledge.stats,Tier 3
knowledge.stats.indexName,Index Name,knowledge.stats,Tier 3
knowledge.stats.indexedDocuments,Indexed Documents,knowledge.stats,Tier 3
knowledge.stats.initialized,Initialized,knowledge.stats,Tier 3
knowledge.stats.knowledgeItemsInRedis,Knowledge items in Redis,knowledge.stats,Tier 3
knowledge.stats.knowledgeItemsStored,Knowledge items stored,knowledge.stats,Tier 3
knowledge.stats.lastUpdated,Last Updated,knowledge.stats,Tier 3
knowledge.stats.noRecentActivity,No recent activity,knowledge.stats,Tier 3
knowledge.stats.notVectorized,Not vectorized,knowledge.stats,Tier 3
knowledge.stats.optimizeDb,Optimize DB,knowledge.stats,Tier 3
knowledge.stats.overviewAriaLabel,Knowledge base overview statistics,knowledge.stats,Tier 3
knowledge.stats.popularTags,Popular Tags,knowledge.stats,Tier 3
knowledge.stats.popularTagsAriaLabel,Popular tags in knowledge base,knowledge.stats,Tier 3
knowledge.stats.rag,RAG,knowledge.stats,Tier 3
knowledge.stats.ragAvailable,RAG Available,knowledge.stats,Tier 3
knowledge.stats.realTimeTracking,Real-time tracking,knowledge.stats,Tier 3
knowledge.stats.recentActivity,Recent Activity,knowledge.stats,Tier 3
knowledge.stats.redisDb,Redis DB,knowledge.stats,Tier 3
knowledge.stats.refresh,Refresh,knowledge.stats,Tier 3
knowledge.stats.refreshVectorStats,Refresh vector statistics,knowledge.stats,Tier 3
knowledge.stats.status,Status,knowledge.stats,Tier 3
knowledge.stats.storageUsed,Storage used,knowledge.stats,Tier 3
knowledge.stats.storageUsedTitle,Storage Used,knowledge.stats,Tier 3
knowledge.stats.systemKnowledgeDesc,"Manage system-level knowledge including man pages, commands, and documentation.",knowledge.stats,Tier 3
knowledge.stats.systemKnowledgeMgmt,System Knowledge Management,knowledge.stats,Tier 3
knowledge.stats.textSplitter,Text Splitter,knowledge.stats,Tier 3
knowledge.stats.totalDocuments,Total Documents,knowledge.stats,Tier 3
knowledge.stats.totalFacts,Total Facts,knowledge.stats,Tier 3
knowledge.stats.totalVectors,Total Vectors,knowledge.stats,Tier 3
knowledge.stats.unavailable,Unavailable,knowledge.stats,Tier 3
knowledge.stats.uniqueTags,Unique Tags,knowledge.stats,Tier 3
knowledge.stats.vectorDbTitle,Vector Database Statistics,knowledge.stats,Tier 3
knowledge.stats.vectorDistribution,Vector Categories Distribution,knowledge.stats,Tier 3
knowledge.stats.vectorFramework,Vector Framework,knowledge.stats,Tier 3
knowledge.stats.vectorIndexHealth,Vector Index Health,knowledge.stats,Tier 3
knowledge.stats.vectorNotGenerated,Vectors Not Generated,knowledge.stats,Tier 3
knowledge.stats.vectorizedForRag,Vectorized for RAG,knowledge.stats,Tier 3
knowledge.systemDocs.copied,Copied!,knowledge.systemDocs,Tier 3
knowledge.systemDocs.copy,Copy,knowledge.systemDocs,Tier 3
knowledge.systemDocs.errorCopy,Failed to copy to clipboard,knowledge.systemDocs,Tier 3
knowledge.systemDocs.errorExport,Failed to export document,knowledge.systemDocs,Tier 3
knowledge.systemDocs.errorExportAll,Failed to export all documents,knowledge.systemDocs,Tier 3
knowledge.systemDocs.errorLoadCategories,Failed to load documentation categories,knowledge.systemDocs,Tier 3
knowledge.systemDocs.errorLoadContent,Failed to load document content,knowledge.systemDocs,Tier 3
knowledge.systemDocs.errorLoadDocs,Failed to load documents,knowledge.systemDocs,Tier 3
knowledge.systemDocs.export,Export,knowledge.systemDocs,Tier 3
knowledge.systemDocs.exportAll,Export All,knowledge.systemDocs,Tier 3
knowledge.systemDocs.loadingCategories,Loading categories...,knowledge.systemDocs,Tier 3
knowledge.systemDocs.loadingDocs,Loading documents...,knowledge.systemDocs,Tier 3
knowledge.systemDocs.noDocs,No documents in this category,knowledge.systemDocs,Tier 3
knowledge.systemDocs.noSearchResults,No documents match your search,knowledge.systemDocs,Tier 3
knowledge.systemDocs.searchPlaceholder,Search documentation...,knowledge.systemDocs,Tier 1
knowledge.systemDocs.selectCategory,Select a category to view documents,knowledge.systemDocs,Tier 3
knowledge.systemDocs.selectDocument,Select a document to view its content,knowledge.systemDocs,Tier 3
knowledge.systemDocs.subtitle,Browse and export system documentation,knowledge.systemDocs,Tier 2
knowledge.systemDocs.title,System Documentation,knowledge.systemDocs,Tier 2
knowledge.systemDocs.words,{count} words,knowledge.systemDocs,Tier 3
knowledge.systemKnowledge.aboutTitle,About System Knowledge,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.allHosts,All Hosts,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.commandsIndexed,Commands Indexed,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.confirmIndexDocs,Do you want to force reindex existing documents?,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.confirmInitialize,This will initialize system knowledge for the selected host. This may take several minutes. Continue?,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.confirmRefreshManPages,This will refresh man pages for the selected host. Continue?,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.confirmReindex,This will reindex all documents for the selected host. Continue?,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.confirmVectorize,"This will vectorize {totalFacts} facts. Currently {totalVectors} vectors exist, {needsVectorization} need vectorization. Continue?",knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.docsIndexed,Docs Indexed,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.error,Error,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.indexAutoBotDocs,Index AutoBot Docs,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.initializeMachineKnowledge,Initialize Machine Knowledge,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.initializing,Initializing...,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.populateCommands,Populate Commands,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.populating,Populating...,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.recentActivity,Recent Activity,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.refreshManPages,Refresh Man Pages,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.refreshStats,Refresh Stats,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.refreshing,Refreshing...,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.reindexDocuments,Reindex Documents,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.reindexing,Reindexing...,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.searchableVectors,Searchable Vectors,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.subtitle,Index and manage system-level knowledge from infrastructure machines,knowledge.systemKnowledge,Tier 2
knowledge.systemKnowledge.success,Success,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.targetHost,Target Host,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.totalFacts,Total Facts,knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.vectorizeComplete,Vectorize Facts (✓ {vectors} vectors from {facts} facts),knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.vectorizePending,Vectorize Facts ({pending} pending),knowledge.systemKnowledge,Tier 3
knowledge.systemKnowledge.vectorizing,Vectorizing...,knowledge.systemKnowledge,Tier 3
